,TIME,GEO,PRODUCT,Value,Population
0,1990,Belgium,Total petroleum products,18345.6,9967379
1,1990,Belgium,Renewable energies,481.2,9967379
2,1990,Belgium,Gas,8169.0,9967379
3,1990,Belgium,Waste (non-renewable),299.9,9967379
4,1990,Belgium,Nuclear heat,11020.3,9967379
5,1990,Belgium,Solid fuels,10596.8,9967379
6,1990,Bulgaria,Total petroleum products,9094.7,8718289
7,1990,Bulgaria,Renewable energies,333.9,8718289
8,1990,Bulgaria,Gas,5395.7,8718289
9,1990,Bulgaria,Waste (non-renewable),0.0,8718289
10,1990,Bulgaria,Nuclear heat,3782.9,8718289
11,1990,Bulgaria,Solid fuels,8716.6,8718289
12,1990,Czech Republic,Total petroleum products,9038.3,10333355
13,1990,Czech Republic,Renewable energies,1140.7,10333355
14,1990,Czech Republic,Gas,5257.5,10333355
15,1990,Czech Republic,Waste (non-renewable),13.0,10333355
16,1990,Czech Republic,Nuclear heat,3246.3,10333355
17,1990,Czech Republic,Solid fuels,31454.8,10333355
18,1990,Denmark,Total petroleum products,8148.1,5140939
19,1990,Denmark,Renewable energies,1031.6,5140939
20,1990,Denmark,Gas,1855.9,5140939
21,1990,Denmark,Waste (non-renewable),166.6,5140939
22,1990,Denmark,Nuclear heat,0.0,5140939
23,1990,Denmark,Solid fuels,6087.1,5140939
24,1990,Germany,Total petroleum products,126544.2,79433029
25,1990,Germany,Renewable energies,5313.4,79433029
26,1990,Germany,Gas,55374.7,79433029
27,1990,Germany,Waste (non-renewable),999.5,79433029
28,1990,Germany,Nuclear heat,39431.9,79433029
29,1990,Germany,Solid fuels,128547.2,79433029
30,1990,Estonia,Total petroleum products,2992.0,1569174
31,1990,Estonia,Renewable energies,187.9,1569174
32,1990,Estonia,Gas,1222.3,1569174
33,1990,Estonia,Waste (non-renewable),0.0,1569174
34,1990,Estonia,Nuclear heat,0.0,1569174
35,1990,Estonia,Solid fuels,5949.2,1569174
36,1990,Ireland,Total petroleum products,4843.0,3513974
37,1990,Ireland,Renewable energies,167.7,3513974
38,1990,Ireland,Gas,1873.0,3513974
39,1990,Ireland,Waste (non-renewable),0.0,3513974
40,1990,Ireland,Nuclear heat,0.0,3513974
41,1990,Ireland,Solid fuels,3391.6,3513974
42,1990,Greece,Total petroleum products,12949.6,10196792
43,1990,Greece,Renewable energies,1104.7,10196792
44,1990,Greece,Gas,153.0,10196792
